number,ROI_mean,Vec (V)
290,8.071618295454549,0.108517
291,8.072127954545453,0.105307
292,8.072856931818185,0.101843
293,8.073117159090911,0.0984159
294,8.073299715909085,0.0951686
295,8.073242897727265,0.0919585
296,8.074738352272718,0.088612
297,8.073875284090905,0.085185
298,8.074882102272722,0.0818448
299,8.07647982954545,0.0785789
300,8.075221818181818,0.0752324
301,8.075324659090908,0.0719727
302,8.07555022727273,0.06862
303,8.076032045454546,0.0653108
304,8.076899659090914,0.0619333
305,8.077648522727275,0.0584753
306,8.077451079545456,0.0551227
307,8.077280056818186,0.051801
308,8.077709034090914,0.0485971
309,8.078434090909095,0.0452444
310,8.078996534090916,0.0418917
311,8.079102272727273,0.0386134
312,8.079508181818175,0.0351864
313,8.080474090909087,0.0319205
314,8.080739999999993,0.0286051
315,8.081197386363634,0.025271
316,8.081883181818178,0.0219245
317,8.08182636363636,0.018386
318,8.082495170454548,0.0150457
319,8.082473579545452,0.0117798
320,8.085033238636367,0.00855108
321,8.082590625000003,0.00522321
322,8.083319034090913,0.00188295
323,8.084287840909095,-0.00143872
324,8.085177499999999,-0.00489673
325,8.08550079545454,-0.00815643
326,8.085647954545454,-0.0115958
327,8.084956477272724,-0.0147626
328,8.085579772727272,-0.0181276
329,8.086376931818181,-0.0215051
330,8.087401249999997,-0.0250313
331,8.086646704545453,-0.0281236
332,8.087568863636362,-0.0315507
333,8.087671704545453,-0.0348723
334,8.089109204545453,-0.0382374
335,8.089276250000001,-0.0415777
336,8.089521249999999,-0.0448993
337,8.090075227272727,-0.0481218
338,8.090705909090907,-0.0515798
339,8.090993409090908,-0.0548334
340,8.09142522727273,-0.058279
341,8.091782613636363,-0.0615139
342,8.09318602272727,-0.064817
343,8.091946250000001,-0.0680457
344,8.093192840909094,-0.0714293
345,8.092980909090908,-0.0748006
346,8.094971249999999,-0.0781718
347,8.095570113636365,-0.0814377
348,8.09522903409092,-0.0847036
349,8.094928465909097,-0.0880377
350,8.094850625000005,-0.0914895
351,8.09573982954546,-0.0947554
352,8.09595289772728,-0.0981452
353,8.095941534090914,-0.101467
354,8.097326534090906,-0.104851
355,8.097904374999997,-0.10803
356,8.098985624999996,-0.111475
357,8.099945909090904,-0.114735
358,8.100462329545449,-0.118057
359,8.100669204545452,-0.121521
360,8.1006677840909,-0.124855
361,8.101381988636357,-0.128028
362,8.101452443181811,-0.131486
363,8.101767784090901,-0.134789
364,8.102201874999992,-0.138142
365,8.101687102272718,-0.141513
366,8.103223863636368,-0.144649
367,8.103394886363642,-0.148032
368,8.104344886363638,-0.151503
369,8.105280170454549,-0.154886
370,8.10573522727273,-0.158096
371,8.105851193181822,-0.161474
372,8.10503357954545,-0.16482
373,8.105550056818178,-0.168068
374,8.105860852272722,-0.171396
375,8.106930170454541,-0.174835
376,8.10801880681818,-0.178194
377,8.107190397727265,-0.181503
378,8.108778238636361,-0.184825
379,8.10884073863636,-0.188084
380,8.109031647727267,-0.191536
381,8.109448124999997,-0.194753
382,8.10977482954545,-0.198211
383,8.109517499999997,-0.201631
384,8.110047784090911,-0.204866
385,8.110271079545464,-0.207959
386,8.110909715909095,-0.211448
387,8.111397215909097,-0.214776
388,8.111725056818187,-0.218221
389,8.112350056818189,-0.221456
390,8.112712556818185,-0.224895
391,8.112347784090911,-0.228099
392,8.111847215909096,-0.231427
393,8.111735340909094,-0.234662
394,8.11207619318182,-0.23817
395,8.112419431818186,-0.241535
396,8.114160454545452,-0.244739
397,8.113762727272727,-0.248098
398,8.113661590909087,-0.251364
399,8.114573011363634,-0.254741
400,8.115780340909085,-0.257982
401,8.115651420454544,-0.261372
402,8.116285965909084,-0.264706
403,8.115276306818176,-0.268015
404,8.115359261363626,-0.271541
405,8.115722897727267,-0.274758
406,8.115847897727267,-0.27811
407,8.115947897727267,-0.28155
408,8.116775909090915,-0.284772
409,8.116930454545455,-0.288131
410,8.11688897727273,-0.291341
411,8.116594659090913,-0.294756
412,8.116351477272726,-0.298028
413,8.116600909090911,-0.301467
414,8.117526079545458,-0.304671
415,8.117548238636369,-0.307993
416,8.11794085227273,-0.311401
417,8.118381193181817,-0.31481
418,8.118573806818183,-0.318163
419,8.118453920454545,-0.321583
420,8.117304545454543,-0.324899
421,8.117448295454544,-0.328103
422,8.118075000000003,-0.331437
423,8.118151704545456,-0.334759
424,8.11769090909091,-0.338161
425,8.117728409090905,-0.341476
426,8.119990909090903,-0.344847
427,8.11995227272727,-0.347927
428,8.119158522727266,-0.351392
429,8.11980852272727,-0.354744
430,8.121196590909085,-0.35819
431,8.120269318181814,-0.361598
432,8.117328465909093,-0.364827
433,8.118031306818182,-0.368031
434,8.117775056818182,-0.371477
435,8.117499488636364,-0.374743
436,8.118018806818187,-0.378182
437,8.119256875000003,-0.381497
438,8.120821590909092,-0.384881
439,8.120528409090905,-0.388104
440,8.120671022727269,-0.391382
441,8.12042840909091,-0.39484
442,8.120217045454545,-0.398087
443,8.121300568181814,-0.401427
444,8.120320227272732,-0.404762
445,8.119593522727275,-0.408046
446,8.119841250000006,-0.411392
447,8.120503750000001,-0.414745
448,8.120957159090914,-0.418017
449,8.121002613636366,-0.421438
450,8.121340170454545,-0.424877
451,8.120470284090908,-0.428193
452,8.119929374999998,-0.431446
453,8.120356079545454,-0.434657
454,8.121072556818179,-0.438108
455,8.120661250000003,-0.44148
456,8.12021471590909,-0.444764
457,8.120822102272724,-0.448036
458,8.12087494318181,-0.451284
459,8.120990284090906,-0.454587
460,8.121094829545454,-0.458007
461,8.120449943181818,-0.461558
462,8.119692102272724,-0.464787
463,8.120060852272726,-0.468003
464,8.120711988636371,-0.471461
465,8.120679147727271,-0.474783
466,8.120311420454547,-0.478074
467,8.120904715909091,-0.48155
468,8.12328926136364,-0.484754
469,8.122933011363637,-0.487989
470,8.122185284090907,-0.491311
471,8.121893806818182,-0.494688
472,8.121886988636367,-0.49814
473,8.121192670454546,-0.501394
474,8.121772329545461,-0.50474
475,8.12089107954546,-0.508037
476,8.12108767045455,-0.511445
477,8.121280284090913,-0.514761
478,8.121083125,-0.518151
479,8.121155340909095,-0.521584
480,8.122598295454546,-0.524893
481,8.12220568181818,-0.528048
482,8.122351704545459,-0.531605
483,8.122352329545457,-0.534759
484,8.12224147727273,-0.538155
485,8.122761988636364,-0.541396
486,8.12090380681819,-0.54473
487,8.12085323863637,-0.547866
488,8.120799261363643,-0.546273
489,8.121083409090915,-0.542927
490,8.121283920454552,-0.539649
491,8.120565795454553,-0.53642
492,8.121834090909084,-0.532962
493,8.12131761363636,-0.529628
494,8.121759659090905,-0.52635
495,8.122205681818174,-0.522923
496,8.122272159090903,-0.519663
497,8.122437499999991,-0.516279
498,8.121815909090905,-0.512933
499,8.121215909090914,-0.509574
500,8.122267045454544,-0.506141
501,8.122552840909092,-0.502869
502,8.12168465909091,-0.499702
503,8.121636363636364,-0.496405
504,8.122190568181813,-0.492904
505,8.121189431818175,-0.489687
506,8.121813295454537,-0.486328
507,8.121941704545447,-0.482988
508,8.121204204545451,-0.479629
509,8.121366193181816,-0.476233
510,8.12153119318182,-0.472961
511,8.121103352272728,-0.469522
512,8.120904488636363,-0.466157
513,8.12139721590909,-0.462878
514,8.122129488636364,-0.459619
515,8.122114886363638,-0.45634
516,8.122426590909091,-0.452988
517,8.121805568181822,-0.449685
518,8.121841363636367,-0.446196
519,8.121527727272728,-0.442942
520,8.12101579545455,-0.439627
521,8.12153965909091,-0.436305
522,8.121223465909091,-0.432934
523,8.121633125000004,-0.429494
524,8.121286534090912,-0.426321
525,8.120755284090912,-0.422857
526,8.12045244318182,-0.419573
527,8.12032857954546,-0.416325
528,8.122255681818187,-0.412991
529,8.120930681818187,-0.409571
530,8.121076704545459,-0.406212
531,8.121241534090913,-0.402865
532,8.121275568181819,-0.399581
533,8.122449488636365,-0.396321
534,8.12204664772727,-0.393024
535,8.120844943181819,-0.389572
536,8.120540397727272,-0.386294
537,8.12060232954545,-0.382923
538,8.120426761363635,-0.379521
539,8.119954034090908,-0.376292
540,8.121703863636364,-0.372852
541,8.12153568181818,-0.369667
542,8.122125454545454,-0.366277
543,8.122101079545455,-0.362962
544,8.121312954545452,-0.359789
545,8.120999375000002,-0.356449
546,8.120445965909097,-0.352916
547,8.119278920454546,-0.349619
548,8.11984653409091,-0.346285
549,8.12009994318182,-0.343007
550,8.119810738636364,-0.339667
551,8.120731193181822,-0.33637
552,8.119135227272727,-0.332949
553,8.118348295454547,-0.329627
554,8.1187,-0.326244
555,8.119586363636364,-0.322928
556,8.119696590909097,-0.319625
557,8.118174431818183,-0.316272
558,8.11958380681818,-0.312907
559,8.119201988636364,-0.309542
560,8.11883494318182,-0.306326
561,8.119004829545453,-0.303004
562,8.119668465909088,-0.299645
563,8.120213352272726,-0.296305
564,8.119356534090905,-0.293008
565,8.119234374999998,-0.289643
566,8.118730965909087,-0.286167
567,8.118492329545454,-0.282851
568,8.118838920454543,-0.279604
569,8.119470170454546,-0.276295
570,8.119497670454551,-0.272911
571,8.119242556818186,-0.26954
